Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,1240.000000,1270.500000,1210.750000,1217.969971,1141.904053,33580344
2017-10-01,1217.969971,1320.000000,1212.199951,1312.000000,1230.061523,35633200
2017-11-01,1312.000000,1388.699951,1289.430054,1318.500000,1239.520630,39628200
2017-12-01,1317.500000,1354.449951,1247.180054,1350.599976,1269.697754,40300720
2018-01-01,1341.150024,1629.530029,1310.099976,1556.180054,1462.963257,58090866
2018-02-01,1562.000000,1595.000000,1446.250000,1517.530029,1430.011108,46273616
2018-03-01,1524.500000,1563.500000,1390.780029,1424.569946,1342.412109,145325896
2018-04-01,1420.000000,1780.000000,1420.000000,1766.050049,1664.198486,116302252
2018-05-01,1766.050049,1837.400024,1698.349976,1741.050049,1640.640503,65337535
2018-06-01,1754.000000,1885.150024,1711.150024,1847.750000,1755.675415,74257498
2018-07-01,1852.000000,2015.000000,1841.099976,1940.199951,1843.518433,86782242
2018-08-01,1949.949951,2092.000000,1945.000000,2078.399902,1978.811157,42262316
2018-09-01,2084.800049,2211.899902,2018.150024,2183.699951,2079.065430,44640172
2018-10-01,2190.899902,2275.949951,1784.349976,1938.150024,1845.281372,68060513
2018-11-01,1943.650024,1997.000000,1784.500000,1968.250000,1877.886353,52728186
2018-12-01,1984.000000,2029.699951,1870.250000,1893.050049,1806.138916,49342879
2019-01-01,1896.000000,2019.750000,1808.000000,2014.099976,1921.631104,69895226
2019-02-01,2009.500000,2097.949951,1881.300049,1983.449951,1896.444580,62771882
2019-03-01,1995.050049,2068.949951,1958.050049,2001.650024,1913.846313,53475963
2019-04-01,2010.000000,2266.949951,2007.000000,2260.350098,2161.198242,67089639
2019-05-01,2260.350098,2260.350098,2032.250000,2196.550049,2100.197021,60480346
2019-06-01,2201.000000,2292.500000,2142.100098,2227.199951,2129.502197,46280351
2019-07-01,2235.000000,2258.800049,2060.000000,2205.699951,2126.011963,60441617
2019-08-01,2200.000000,2282.000000,2143.250000,2259.600098,2183.051758,44449609
2019-09-01,2259.600098,2296.199951,1975.000000,2099.300049,2028.182251,56752600
2019-10-01,2095.949951,2284.949951,1925.000000,2269.649902,2192.761230,73272404
2019-11-01,2264.000000,2275.000000,2035.050049,2053.250000,2023.239624,59754775
2019-12-01,2060.000000,2246.699951,1984.000000,2161.699951,2130.104248,86634118
